Period,pyAMI Run Number,Skimmed Ntuple Run Number,Missing Runs
A Total Runs,9,0,9
A1,266904,,
A1,266919,,
A1,267073,,
A2,267148,,
A2,267152,,
A2,267162,,
A3,267167,,
A4,267638,,
A4,267639,,
,,,
B Total Runs,6,0,6
B1,267358,,
B1,267359,,
B1,267360,,
B1,267367,,
B1,267385,,
B1,267599,,
,,,
C Total Runs,17,0,17
C1,270441,,
C1,270448,,
C1,270588,,
C2,270806,,
C2,270816,,
C2,270949,,
C2,270953,,
C2,271048,,
C3,271298,,
C3,271388,,
C3,271421,,
C4,271516,,
C4,271595,,
C4,271733,,
C5,271744,,
C6,272529,,
C6,272531,,
,,,
D Total Runs,21,10,11
D1,276073,,
D1,276147,,
D1,276161,,
D1,276176,,
D1,276181,,
D1,276183,,
D2,276189,,
D2,276212,,
D2,276245,,
D3,276262,276262,
D3,276329,276329,
D3,276330,,
D3,276336,276336,
D4,276416,276416,
D4,276511,276511,
D4,276689,276689,
D5,276731,,
D6,276778,276778,
D6,276790,276790,
D6,276952,276952,
D6,276954,276954,
,,,
E Total Runs,18,15,3
E1,278727,,
E2,278748,,
E2,278880,278880,
E2,278912,278912,
E3,278968,278968,
E3,278970,,
E3,279169,279169,
E3,279259,279259,
E3,279279,279279,
E3,279284,279284,
E4,279345,279345,
E4,279515,279515,
E4,279598,279598,
E4,279685,279685,
E5,279764,279764,
E5,279813,279813,
E5,279867,279867,
E5,279928,279928,
,,,
F Total Runs,7,6,1
F1,279932,279932,
F1,279984,279984,
F2,280231,280231,
F2,280273,280273,
F3,280319,280319,
F3,280368,280368,
F3,280422,,
,,,
G Total Runs,14,14,0
G1,280423,280423,
G1,280464,280464,
G2,280500,280500,
G2,280520,280520,
G2,280614,280614,
G2,280673,280673,
G2,280753,280753,
G2,280853,280853,
G3,280862,280862,
G3,280950,280950,
G4,280977,280977,
G4,281070,281070,
G4,281074,281074,
G4,281075,281075,
,,,
H Total Runs,7,3,4
H1,281130,,
H1,281143,,
H2,281317,281317,
H2,281327,,
H2,281381,,
H2,281385,281385,
H3,281411,281411,
,,,
I Total Runs,14,0,14
I1,281662,,
I1,281712,,
I2,281976,,
I2,281978,,
I2,281995,,
I2,282026,,
I2,282248,,
I2,282418,,
I2,282420,,
I2,282421,,
I2,282423,,
I2,282455,,
I2,282457,,
I3,282482,,
,,,
J Total Runs,19,18,1
J1,282625,282625,
J1,282631,282631,
J1,282712,282712,
J2,282784,282784,
J3,282992,282992,
J3,283074,283074,
J3,283155,283155,
J3,283270,283270,
J4,283429,283429,
J4,283608,283608,
J4,283780,283780,
J4,284006,284006,
J5,284154,284154,
J6,284213,284213,
J6,284285,284285,
J6,284420,284420,
J6,284427,284427,
J6,284473,,
J6,284484,284484,